,city,latitude,longitude,Max_Temp,humidity,cloudness,wind speed,country,Date
0,punta arenas,-53.15,-70.9167,41.11,81,40,20.71,CL,1659350685
1,iqaluit,63.7506,-68.5145,47.93,87,75,2.3,CA,1659350685
2,yablonovo,50.8523,37.3574,79.95,39,42,12.24,RU,1659350685
3,bitung,1.4451,125.1824,81.45,81,49,3.62,ID,1659350685
4,carutapera,-1.195,-46.02,77.4,92,63,6.64,BR,1659350685
5,leningradskiy,69.3833,178.4167,41.85,81,35,7.94,RU,1659350685
6,puerto ayora,-0.7393,-90.3518,69.55,96,100,8.01,EC,1659350685
7,busselton,-33.65,115.3333,55.11,73,100,33.49,AU,1659350685
8,negombo,7.2083,79.8358,80.65,78,40,6.91,LK,1659350686
9,saldanha,-33.0117,17.9442,62.65,51,0,9.51,ZA,1659350686
10,ancud,-41.8697,-73.8203,40.23,80,100,1.79,CL,1659350686
11,mataura,-46.1927,168.8643,44.47,77,100,7.38,NZ,1659350686
12,kodiak,57.79,-152.4072,56.71,82,0,5.75,US,1659350686
13,khatanga,71.9667,102.5,49.84,60,100,7.4,RU,1659350686
14,ilulissat,69.2167,-51.1,53.62,40,20,11.5,GL,1659350686
15,yellowknife,62.456,-114.3525,50.56,100,20,3.44,CA,1659350686
16,codrington,-38.2667,141.9667,50.22,85,13,14.45,AU,1659350686
17,arraial do cabo,-22.9661,-42.0278,64.26,88,0,5.75,BR,1659350687
18,lasa,46.6166,10.7002,78.37,35,1,1.45,IT,1659350687
19,bredasdorp,-34.5322,20.0403,59.49,46,0,9.17,ZA,1659350687
20,te anau,-45.4167,167.7167,46.49,87,95,10.94,NZ,1659350687
21,ca mau,9.1769,105.15,81.88,81,100,5.17,VN,1659350687
22,maraa,-1.8333,-65.3667,71.74,95,89,1.95,BR,1659350687
23,bluff,-46.6,168.3333,44.8,74,99,18.43,NZ,1659350687
24,ribeira grande,38.5167,-28.7,75.6,78,20,3.44,PT,1659350687
25,rikitea,-23.1203,-134.9692,71.85,74,85,25.37,PF,1659350687
26,lompoc,34.6391,-120.4579,68.14,92,0,3.44,US,1659350687
27,new norfolk,-42.7826,147.0587,46.92,87,80,3.0,AU,1659350687
28,ushuaia,-54.8,-68.3,40.66,81,0,2.3,AR,1659350582
29,itoman,26.1247,127.6694,83.17,87,40,13.8,JP,1659350688
30,barrow,71.2906,-156.7887,33.8,90,23,9.08,US,1659350688
31,ambon,-3.6954,128.1814,77.14,94,75,3.44,ID,1659350688
32,lundazi,-12.2929,33.1782,80.31,26,2,10.4,ZM,1659350688
33,lorengau,-2.0226,147.2712,79.99,84,84,11.92,PG,1659350688
34,kavaratti,10.5669,72.642,77.32,87,100,29.46,IN,1659350688
35,tasiilaq,65.6145,-37.6368,42.96,63,0,1.81,GL,1659350688
36,azoyu,16.7167,-98.7333,72.19,96,100,4.79,MX,1659350688
37,krasnoarmeysk,51.0239,45.6969,79.3,44,35,9.66,RU,1659350688
38,airai,-8.9266,125.4092,60.85,92,99,2.91,TL,1659350688
39,hermanus,-34.4187,19.2345,59.81,50,0,8.48,ZA,1659350629
40,grootfontein,-19.5667,18.1167,74.77,16,0,8.05,NA,1659350688
41,axim,4.8699,-2.2405,75.96,75,100,12.06,GH,1659350689
42,gezing,47.9178,13.1299,80.15,52,20,12.66,AT,1659350689
43,vaini,-21.2,-175.2,75.36,100,40,5.75,TO,1659350689
44,preobrazheniye,42.9019,133.9064,68.77,98,100,5.26,RU,1659350689
45,kajaani,64.2273,27.7285,69.85,60,40,3.44,FI,1659350689
46,victoria,22.2855,114.1577,91.45,72,32,11.01,HK,1659350689
47,gigmoto,13.7796,124.39,81.3,85,99,7.74,PH,1659350689
48,norman wells,65.282,-126.8329,44.64,93,40,3.44,CA,1659350689
49,tuktoyaktuk,69.4541,-133.0374,44.71,90,100,9.95,CA,1659350689
50,jamestown,42.097,-79.2353,67.59,71,100,8.05,US,1659350689
51,bethel,41.3712,-73.414,68.85,96,100,0.0,US,1659350690
52,miranda,3.2499,-76.2281,60.93,89,100,3.31,CO,1659350690
53,westport,41.1415,-73.3579,69.84,94,100,4.61,US,1659350690
54,torbay,47.6666,-52.7314,68.58,78,20,14.97,CA,1659350690
55,jalu,29.0331,21.5482,97.79,21,0,10.56,LY,1659350690
56,pangkalanbuun,-2.6833,111.6167,76.86,92,100,1.9,ID,1659350690
57,port blair,11.6667,92.75,83.7,80,100,14.09,IN,1659350611
58,carnarvon,-24.8667,113.6333,68.07,88,100,18.41,AU,1659350690
59,pocone,-16.2567,-56.6228,68.88,39,14,2.82,BR,1659350690
60,laguna,38.421,-121.4238,72.18,70,0,8.05,US,1659350647
61,cidreira,-30.1811,-50.2056,54.09,87,2,5.41,BR,1659350690
62,tautira,-17.7333,-149.15,77.07,70,41,24.23,PF,1659350690
63,maltahohe,-24.8333,16.9833,63.14,24,86,22.97,NA,1659350690
64,clyde river,70.4692,-68.5914,37.63,93,100,12.66,CA,1659350691
65,nikolskoye,59.7035,30.7861,73.87,47,100,8.16,RU,1659350691
66,pevek,69.7008,170.3133,52.38,57,1,12.3,RU,1659350480
67,albany,42.6001,-73.9662,69.73,86,56,0.54,US,1659350691
68,campo maior,-4.8278,-42.1686,80.01,63,20,8.93,BR,1659350691
69,hasaki,35.7333,140.8333,86.4,79,55,12.77,JP,1659350691
70,palmer,42.1584,-72.3287,69.85,84,100,0.0,US,1659350691
71,bardiyah,31.7561,25.0865,87.12,55,0,17.16,LY,1659350691
72,fortuna,40.5982,-124.1573,59.94,91,100,3.44,US,1659350691
73,chicama,-7.8447,-79.1469,57.74,90,53,4.97,PE,1659350691
74,akyab,20.15,92.9,86.07,72,100,9.24,MM,1659350691
75,anchorage,61.2181,-149.9003,55.33,92,40,3.0,US,1659350643
76,ugoofaaru,5.6667,73.0,81.05,73,100,22.55,MV,1659350691
77,ponta do sol,32.6667,-17.1,83.01,67,3,4.23,PT,1659350692
78,aklavik,68.2191,-135.0107,44.17,85,94,8.84,CA,1659350692
79,lebu,-37.6167,-73.65,43.97,87,10,7.2,CL,1659350692
